			
			
			
DESCRIPTION	     PART NUMBER	UnitPrice	Currency
FILTER, PNEUMATIC TEMPERATURE THERMOSTAT	CG0752503458N02	490	USD
Packing	S9413-034 or M83248-1-034 or AS3209-034	6.83	USD
Screw	MS16995-54	14	USD
COMPUTER	822-1604-151          	129000	USD
FIRE DETECTOR CHANNEL B HARNESS	"642W9956-501 	"	8950	USD
HARNESS-J6	325-035-003-0 	4250	USD
HARNESS-J5	325-034-902-0	6000	USD
ACTUATOR	1226400	9950	USD
ACTUATOR	1226400	12000	USD
HARNESS-J5	325-034-902-0	1500	USD
LIGHT AY	65-0294-23	6500	USD
WINDOW-SLIDING (RH)	NP175232-2	17900	USD
ANTENNA,	10-203-32-N-2A	545	USD
CONTROL PANEL-EFIS	4082730-911 	25000	USD
NTEGRATED SYSTEM CONTROLLER (ISC)	4100507-001	6700	USD
COMPUTER	822-1604-151          	227000	USD
SELECTOR PANEL	824392-2-002	35500	USD
EXTINGUISHER	BA51015-5	1510	USD
LIGHT ASSY	4331772	16500	USD
MLG WHEEL TIRE	M20101-01 (MICHELIN)	4165	USD
CONTROL PANEL-EFIS	4082730-911 	30000	USD
LIGTH  	D72D70360-111	633	USD
FLT DECK  TEMPERATURE SENSOR FILTER	213A6404-1	40	USD
FILTER MAINTENANCE KIT	65-90305-24	302	USD
FILTER MAINTENANCE KIT	65-90305-15	162	USD
BATTERY PACK	"P2-07-0021-002 	"	53.73	USD
BATTERY	P4-01-0021	35.79	USD
SHIELD 	"A1-18-1030 	"	5.4	USD
TAMPER SHIELD	A1-26-0086-002     	4.44	USD
STRAP-SAFETY BARRIER	"504529-409 	"	2116	USD
KIT - FILTER, POWER TRANSFER	65-90305-40A	146	USD
SEAL - `D` SHAPED	335-299-401-0	52.19	USD
NUT - SELF-LOCKING,12POINT	BACN10HR4C	5.51	USD
BALL, SPHERICAL	601R75100-211	275	USD
PIN, CLEVIS	27218-3	269.5	USD
Jack Axle − NLG/MLG Combined Tire Changing 	02-7835-0100 	6807.17	USD
BALL, SPHERICAL	601R75100-211	1255	USD
FLOODLIGHT	A8985-16	917	USD
STRAP-SAFETY BARRIER	"504529-409 	"	2515	USD
BOLT	P715727	1349	USD
STRAP-SAFETY BARRIER	"504529-409 	"	3521	USD
LINK, PCU	27200-7	7700	USD
LINK, PCU	27200-7	3590	USD
OIL QUANTITY TRANSMITTER (ДАТЧИК КОЛ	76-167-4	16500	USD
DISK, LPT STG 1	336-001-804-0	25000	USD
TRANSCEIVER	064-50000-0110	5190	USD
HARNESS-J5	325-034-902-0	6250	USD
#N/A	#N/A	2400	USD
 WATER HEATER	24E507009G03	4240	USD
#N/A	#N/A	19800	USD
SOCKET – NLG AXLE NUT 	ANS1902A	390	USD
SOCKET – MLG AXLE NUT 	ANS1910A 	473	USD
BUILD TROLLEY	460007240	12000	USD
TROLLEY BUILD	460006212	10300	USD
MLG AXLE PROTECTIVE COVER	14-6868-6000	873	USD
ANTENNA,	10-203-32-N-2A	535	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	48000	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	28235	USD
D5463061900000	D5463061900000	1186	USD
COTTER PIN	180300-1B1-0	546	USD
BUILD TROLLEY	460007240	2830	USD
SPOOL ASSY-CPRSR ROTOR STAGES 4 TH 9	2048M20G03	93840	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	35000	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	41000	USD
SPOOL ASSY-CPRSR ROTOR STAGES 1 & 2	1558M31G04	29311	USD
SPOOL ASSY-CPRSR ROTOR STAGES 4 TH 9	2048M20G03	94516	USD
SHAFT, HORIZONTAL ARTICULATION	F0482695	2866	USD
COTTER PIN	180300-1B1-0	223	USD
TROLLEY BUILD	460006212	5540	USD
BUILD TROLLEY	460007240	5683	USD
AIR HEATER                                                            	 2831-45	2000	USD
SENSOR	8-648-08	6700	USD
TRANSCEIVER	064-50000-0110	7500	USD
MODULE-INSTRUMENT SWITCHING	233A3206-2	12000	USD
GPS RECEIVER	822-2189-101	35750	USD
BRACKET	340-010-201-0	950	USD
TUBE	340-010-801-0	950	USD
RCVR, VOR/LOC/GS/MB/ADF ASSY-NAV-4000T/L	822-1465-101	29500	USD
DOUBLER	"238-0319-19 	"	4707	USD
INDICATOR	10037-0770	5800	USD
MOTOR	CS-201-304	3449	USD
CHANNEL	65C26845-744	720	USD
LENS ASSY	10-1327-175	241	USD
TUBE ASSY	65C26810-1170	815	USD
TUBE	340-016-701-0	900	USD
MOTOR CONVERTER (RH)	4279198 	5500	USD
Quick disconnect adapter	GW3003	1267	USD
LENS ASSY	10-1327-171	256	USD
LENS ASSY	10-1327-167	1928	USD
FILTER	14401-029	445	USD
MASK ASSY-OXY	MC10-08-109	4500	USD
RESTRAINT SYSTEM - SYS	2100002-01-129	3686	USD
TUBE ASSY	65C26809-1133	2547	USD
#N/A	#N/A	293	USD
#N/A	#N/A	1725	USD
#N/A	#N/A	2000	USD
COTTER PIN	180300-1B1-0	227	USD
VALVE-CONTROL, PARKING BRAKE ELECTR	D24001000	64000	USD
ELECTRONIC FLIGHT DISPLAY UNIT	7014300-901	19500	USD
SWITCH	90G97	2795	USD
SWITCH	90G97	2795	USD
 WATER HEATER	24E507009G03	1800	USD
14330-196	"ELBOW	"	2205	USD
MLG WHEEL	90005586-1	36500	USD
PTU FILTER	7552355	2500	USD
#N/A	#N/A	30	USD
PTU FILTER	7552355	2000	USD
#N/A	#N/A	1300	USD
FL FTG ASSY ,OUTBD,LH WINDSCREEN,US	171-40274-401	180	USD
SEAL	171-00637-001	912	USD
SEAL, SILICONE-SLAT4,OUTBD	170-31358-904	1691	USD
SEAL, SILICONE-SLAT4,OUTBD	170-31358-903	1246	USD
SEAL, SILICONE-SLAT4,OUTBD	170-31358-904	1246	USD
NOSE WHEEL	90005587	19200	USD
VACUUM TOILET-LEAK TESTER        	9501501-4000	4400	USD
MASK ASSY-OXY	MC10-08-109	7125	USD
MASK ASSY-OXY	MC10-08-109	10100	USD
RESTRAINT-SYSTEM	2100002-01-276	2995	USD
PRESSURE SWITCH	1266-200	5000	USD
PRESSURE SWITCH	1266-200	3500	USD
PLUG-APU TAILPIPE OVHT DET	878581-01	1246	USD
RESTRANT	2100002-01-231	3749	USD
SENSOR-PRESSURE	9104A0005-01 	2900	USD
PLUG-APU TAILPIPE OVHT DET	878581-01	1205	USD
SENSOR	8-648-08	8300	USD
PLUG-APU TAILPIPE OVHT DET	878581-01	980	USD
MASK-FULL FACE QUICK DONNING	MF20-534	7000	USD
VACUUM TOILET-LEAK TESTER        	9501501-4000	15170	USD
RCVR, VOR/LOC/GS/MB/ADF ASSY-NAV-4000T/L	822-1465-101	42500	USD
Oxygen cylinder	176219-115	7000	USD
Extinguisher	863470-01	5000	USD
MOTOR CONVERTER (RH)	4279198 	3250	USD
TUBE	340-016-751-0	800	USD
TUBE	340-016-751-0	1250	USD
MODULE-INSTRUMENT SWITCHING	233A3206-2	2260	USD
MASK ASSY-OXY	MC10-08-109	4000	USD
MASK-FULL FACE QUICK DONNING	MF20-534	5350	USD
MOTOR CONVERTER (LH)	4279204 	6350	USD
SENSOR-PRESSURE	9104A0005-01 	1700	USD
MODULE-INSTRUMENT SWITCHING	233A3206-2	3250	USD
NUMBER 2 ENGINE EXHAUST NOZZLE	3G7800L00733	18500	USD
GPS RECEIVER	822-2189-101	25300	USD
SENSOR-PRESSURE	9104A0005-01 	2000	USD
TUBE ASSY	4-60001H883-00	13822	USD
LIGHT ASSY	4331772	10750	USD
SENSOR	8-648-08	8150	USD
Oxygen cylinder	176219-115	4000	USD
VALVE-SURGE CONTROL, APU	"3291238-2 	"	17400	USD
FILTER ELEMENT	AC9380F4010	271	USD
FILTER ELEMENT	AC9227F1740	131	USD
EMERGENCY SLIDE	5A3307-7	13950	USD
AVIONIC BATTERY	024054-000	17156	USD
SEAL	5709-4	6634	USD
PROBE	0154NF	38000	USD
ELEMENT ASSY, FUEL FILTER APU	3882440-1	209	USD
 FLANGE-ASSY-OUTER NO.1	ALL458-001-0 	9000	USD
CONTROL UNIT	Z212H0003110    	1800	USD
TIRE,NOSE	217K22-1	1075	USD
ANTENNA DRIVE UNIT	622-5136-801   	8000	USD
TIRE, MAIN WHEEL	382K02-1	4170	USD
MAIN WHEEL	3-1599	122000	USD
TIRE,NOSE	217K22-1	2163	USD
TIRE,NOSE	217K22-1	3200	USD
BLIND-ROLLER	"170-12155-990 	"	5400	USD
TIRE,NOSE	217K22-1	1290	USD
TIRE, MAIN WHEEL	382K02-1	3222	USD
BATTERY PACK	8ES360000-00	1010	USD
MOTOR CONVERTER (RH)	4279198 	7000	USD
TIRE, MAIN WHEEL	382K02-1	5450	USD
APU BATTERY	024055-000	10500	USD
BATTERY PACK	8ES360000-00	1321	USD
TIRE, MAIN WHEEL	382K02-1	5072	USD
TIRE,NOSE	217K22-1	1515	USD
APU BATTERY	024055-000	29800	USD
AVIONIC BATTERY	024054-000	29800	USD
TCAS ANTENNA	622-8973-001	6250	USD
FAUCET	9810	10500	USD
TIRE,NOSE	217K22-1	1116	USD
TIRE, MAIN WHEEL	382K02-1	4327	USD
TIRE,NOSE	217K22-1	1350	USD
ANTENNA DRIVE UNIT	622-5136-801   	10100	USD
TIRE,NOSE	217K22-1	1082	USD
TCAS ANTENNA	622-8973-001	7950	USD
NOSE WHEEL	3-1560	23500	USD
ANTENNA DRIVE UNIT	622-5136-801   	21500	USD
LINK, PCU	27200-7	8750	USD
FAUCET	9810	10750	USD
TCAS ANTENNA	622-8973-001	4750	USD
MOTOR CONVERTER (RH)	4279198 	4450	USD
MOTOR CONVERTER (RH)	4279198 	3900	USD
#N/A	#N/A	11995	USD
#N/A	#N/A	2500	USD
#N/A	#N/A	1600	USD
#N/A	#N/A	7500	USD
BLOCK	65C26845-382	350	USD
BLOCK	65C26845-381	170	USD
DRIVE SHAFT	3G6310V00152	17000	USD
CARTRIDGE ASSY	74875-5	44200	USD
PUMP FUEL MAIN	828300-11	76500	USD
NUT	SL40358P	1395	USD
STARTER-GENERATOR 	23048-046	29995	USD
PUMP FUEL MAIN	828300-11	73885	USD
PUMP FUEL MAIN	828300-11	75000	USD
ELEMENT-SCAVENGE OIL FILTER	QA03963	548	USD
SEAL RING	AS43013-154	7.5	USD
IDG FILTER ELEMENT 140 PER 100,DISPOSABLE	7588429 	59.81	USD
PACKING	2-015E3609-70         	9.19	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1500	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1500	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1500	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1450	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1500	USD
REMOTE SWITCH	345-6196-04	302.09	USD
REMOTE SWITCH	345-6196-04	92.63	USD
REMOTE SWITCH	345-6196-04	310.03	USD
REMOTE SWITCH	345-6196-04	224.3	USD
SMOKE DETECTOR	2156-656 	1900	USD
LIGHT - LIGHT - TEST	65-0028-11	2942.38	USD
LIGHT - LIGHT - TEST	65-0028-11	2489.7	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	3995	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	1500	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	1500	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	1000	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	1000	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	2670.57	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	2800	USD
COMPUTER ASSY	C13042BA03	25200	USD
COMPUTER ASSY	C13042BA03	28000	USD
LIGHT-EMERGENCY,CABIN	10-1267-5	2190	USD
LIGHT-EMERGENCY,CABIN	10-1267-5	1554	USD
STUD-ANTI RATTLE ,STEEL	41031038-501	370.05	USD
SELECTOR-LDG FIELD	9027-20010	3000	USD
SELECTOR-LDG FIELD	9027-20010	2000	USD
LANDING LIGHT  	4315542 	6620	USD
LANDING LIGHT  	4315542 	4200	USD
LANDING LIGHT  	4315542 	4000	USD
LANDING LIGHT  	4315542 	4550	USD
FILTER	365303-1	1838.88	USD
FILTER	365303-1	746.55	USD
FILTER	3882440-1	323.65	USD
FILTER	3882440-1	373.98	USD
SCREW, MACHINE	2614478	125.51	USD
LANDING LIGHT  	4315542 	4750	USD
MODULE ASSY	11-6537-7	5093.92	USD
MODULE ASSY	11-6537-7	4918.27	USD
MODULE ASSY	11-6537-7	3864.35	USD
TRIM, HINGE	170-43000-003         	235.1	USD
TRIM, HINGE	170-43000-003         	126.95	USD
PACKING	2-015E3609-70         	19.19	USD
CLIP	A35794	69.5	USD
BEARING	A8171-1	283.14	USD
RING SEALING	DAS2112-2	30.14	USD
PLUG IGNITOR APU	304634-2	12788.2	USD
PLUG IGNITOR APU	304634-2	8735.76	USD
FQIC-FUEL QTY INDICATOR COMPUTER	B539AAM0307	7250	USD
FQIC-FUEL QTY INDICATOR COMPUTER	B539AAM0307	10500	USD
CARBON FILTER CARTRIDGE         	06-133802-001         	1311.45	USD
SCREW, MACHINE	2614478	106.53	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	3500	USD
STUD-ANTI RATTLE ,STEEL	41031038-501	400	USD
RUBSTRIP, STOP, SIDE CART	"170-42900-001 	"	50	USD
BRACKET SUPPORT, FLOOR PAN	"170-43501-001 	"	120	USD
SEAL CURTAIN , GALLEY G3	"171-05037-503 	"	872	USD
LAMP	8GH410764-28	460	USD
CONNECTOR  ,LAN/BNC	35650-51	79.16	USD
ACCELEROMETER CORE CF6-80	144-955-000-702	72196.8	USD
CELL	410406	477.69	USD
VALVE	415218	10.73	USD
LIGHT-INDICATOR	E0070B0B07         	402.99	USD
PACKING	801187-1	34.88	USD
FAN PICK-UP SPEED	4021T56P03	4200	USD
LANDING LIGHT  	4315542 	6000	USD
COMPUTER ASSY	C13042BA03	22500	USD
ACCELEROMETER CORE CF6-80	144-955-000-702	83026.32	USD
BRACKET ASSY	232A1304-18	5800	USD
OXYGEN MASK	MF10-08-01	7800	USD
OXYGEN MASK	MF10-08-01	2795	USD
CART WHEEL GUIDE INBD,CART COMP.G3	171-40670-001	593.2	USD
NACELLE VALVES CONTROLLER	1001253-1	10600	USD
NACELLE VALVES CONTROLLER	1001253-1	10500	USD
BRACKET ASSY	G8300-7	392.63	USD
VALVE ANTI-ICE, ENGINE AIR INTAKE	327155-3	27300	USD
VALVE ANTI-ICE, ENGINE AIR INTAKE	327155-3	27300	USD
VALVE ANTI-ICE, ENGINE AIR INTAKE	327155-3	29000	USD
PROBE ASSY	62-0075-3	275	USD
WASHER	66-12125-5	101	USD
BOLT ASSY	69-43962-5	322	USD
SHIM	69-43962-7	374	USD
SEAL - BULB	314A1010-4	330	USD
TUBE ASSY	65C26841-1239	3406	USD
SEAL	314A1010-7	367	USD
PLUG	328224	302	USD
SHIM	69-43962-8	229	USD
TUBE ASSY	65C26809-1098	1397	USD
TUBE ASSY	65-46858-293	4995	USD
TUBE-OIL SUPPLY	340-166-101-0	7390	USD
VALVE ANTI-ICE, ENGINE AIR INTAKE	327155-3	42500	USD
GENERATOR, VACUUM	7800365	115000	USD
PRINTED CIRCUIT ASSY-AUTO FIRE/OVHT LOGIC/TEST SYS	285N0028-36	1600	USD
VALVE ANTI-ICE, ENGINE AIR INTAKE	327155-3	33000	USD
SELECTOR-LDG FIELD	9027-20010	1550	USD
LANDING LIGHT  	4315542 	27500	USD
PC BOARD	61-1675-3	1750	USD
LANDING LIGHT  	4315542 	6950	USD
PC BOARD	61-1675-3	650	USD
VALVE ASSY	810502-3	95031.16	USD
TRANSDUCER WHEEL SPEED	140-025-2 	17400	USD
 FLUSH VALVE ASSY	4100062-001	5995	USD
CONDUIT	287A6212-26	1969.1	USD
LANYARD ASSY	332A2600-6	718	USD
FILTER ELEMENT 	QA08720 	1694	USD
FILTER	7577741	25.12	USD
FILTER ELEMENT 	7588429-101	111.54	USD
FILTER	213A6404-1	23.19	USD
 Packing	69494J446	76.75	USD
 Packing	MS9068 -246	4.21	USD
LENS,PROTCTOR	CDEL1110-5818	77.21	USD
TRANSCEIVER-LRRA	822-0334-003	110500	USD
TRANSDUCER WHEEL SPEED	140-025-2 	750	USD
FAN PICK-UP SPEED	4021T56P03	2400	USD
GEARSHAFT ASSY PMP	3870208-1	4460	USD
PM NIC+PROC MODULE WITH CF MEM	7034057-1902	29900	USD
MODULE ASSY	11-6537-7	3905	USD
FAN PICK-UP SPEED	4021T56P03	350	USD
TRANSCEIVER-LRRA	822-0334-003	60750	USD
TRANSCEIVER-LRRA	822-0334-003	22500	USD
MLG WHELL	C20626200	24000	USD
MLG WHELL	C20626200	18500	USD
MLG WHELL	C20626200	29000	USD
MLG WHELL	C20626200	26250	USD
INTERMEDIATE PRESSURE CHECK VALVE VALVE AY	808556-1	7500	USD
 boomset	046-55-999-0231	777.03	USD
ACTUATOR ASSY-VALVE	MA30A1017	7215.59	USD
FILTER	7577741	32.98	USD
FILTER	213A6404-1	73.68	USD
FILTER ELEMENT 	7588429-101	137.34	USD
STRIKE	AR4714-11	3795	USD
WASHER	S8157N1-010	5	USD
THERMOSTAT-SOLENOID	341F010000	8774	USD
HOOD ASSY-SMOKE	119003-21	2291.06	USD
STRIKE	AR4714-11	9000	USD
TRANSCEIVER-LRRA	822-0334-003	78500	USD
INTERMEDIATE PRESSURE CHECK VALVE VALVE AY	808556-1	14000	USD
STRIKE	AR4714-11	6500	USD
LANYARD ASSY	332A2600-5	756	USD
TRANSCEIVER-LRRA	822-0334-003	97375	USD
THERMOSTAT-SOLENOID	341F010000	7000	USD
STRIKE	AR4714-11	6500	USD
FIREDETECTOR, UNDER PYLON 	3601-91	16000	USD
FIREDETECTOR, UNDER PYLON 	3601-91	14500	USD
PUMP-HYDRAULIC	3031863-002	67500	USD
PACKING	J221P906	1.24	USD
MODULE ASSY	11-6537-7	4745	USD
BRACKET ASSY	232A1308-47	907.7	USD
PROTECTIVE BREATHING EQUIPMENT	         MR-10047N	1919.21	USD
CONNECTOR	CN1159-11	3065.55	USD
 PUMP-ELECTRIC 	3022143-000	94300	USD
HEADER ASSY - CURTAIN	413A3311-4B	22210.5	USD
PIN	BACP18BC03A10P	3.15	USD
PIN	BACP18BC03A10P	1.3	USD
HARNESS-J10	         325-034-802-0	6000	USD
HARNESS-J10	         325-034-802-0	12000	USD
SCREW	BACS12ER3K15WH	82.09	USD
SCREW	BACS12ER3K8	76.83	USD
SCREW	BACS12ER3K8	3.8	USD
PACKING	320517	191.42	USD
SMOKE GOGGLES	MXP210-00	869.94	USD
SMOKE GOGGLES	MXP210-00	1166.58	USD
Main injectors	0319308200	1550	USD
THERMOSTAT-SOLENOID	341F010000	7875	USD
THERMOSTAT-SOLENOID	341F010000	5550	USD
INTERMEDIATE PRESSURE CHECK VALVE VALVE AY	808556-1	11950	USD
ADAPTER ASSY	3079014-01	9970	USD
ADAPTER ASSY	3079014-01	2500	USD
ADAPTER ASSY	3079013-01	2500	USD
ADAPTER ASSY	3079012-01	2500	USD
PARTS KIT, GASKETS FLEX FUEL	3126129-01	1050	USD
PARTS KIT, GASKETS FLEX FUEL	3126129-01	825	USD
PARTS KIT, GASKETS FLEX FUEL	3126129-01	935	USD
PARTS KIT, GASKETS FLEX FUEL	3126129-01	660	USD
SENSOR, TORQUE MONITOR	3073471-01	14000	USD
FILTER	P199753	595.76	USD
FILTER	P199753	551.63	USD
PROXIMITY SENSOR (TITANIUM)	80-207-01	4070	USD
RETAINER	MS28782-25	6.6	USD
WASHER	MS51859-19	13	USD
PACKING	AS3209-159	33.82	USD
PACKING	AS3209-159	25.57	USD
PACKING	AS3209-159	16.75	USD
 PUMP-ELECTRIC 	3022143-000	74750	USD
STRIKE	AR4714-11	14500	USD
STRIKE	AR4714-11	7890	USD
Ring	MS16625-4150	1.77	USD
BALL UNIT	J-082269-7	30.31	USD
PACKING	AS3582-128	2	USD
O-RING	NSA8200-4	2	USD
SHEAR WIRE	273A3615-1	428	USD
BALLAST UNIT	3250-30	1808.7	USD
ELEMENT-OIL FILTER	7593418-101	86.73	USD
Устройство для тестирования авиационных систем навигации и связи	IFR 4000	28033	USD
Устройство для тестирования авиационных систем навигации и связи	IFR 4000	1450.15	USD
Комплекс IFR6000 для наземного тестирования транспондеров/DME/TCAS	IFR 6000	28033	USD
Комплекс IFR6000 для наземного тестирования транспондеров/DME/TCAS	IFR 6000	1450.15	USD
FDAS CONTROLLER	285T0855-1	750	USD
FDAS CONTROLLER	285T0855-1	1250	USD
FDAS CONTROLLER	285T0855-1	15962.5	USD
FDAS CONTROLLER	285T0855-1	1998	USD
VALVE-CHECK PRESS. INTERMED	2293B020000	6950	USD
VALVE-CHECK PRESS. INTERMED	2293B020000	7355	USD
VALVE-CHECK PRESS. INTERMED	2293B020000	7000	USD
VALVE-CHECK PRESS. INTERMED	2293B020000	12300	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4000	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	2000	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	3920	USD
Piston	74-861-5	1007.08	USD
Ring	MS16625-4150	161.97	USD
Spring	40-666	78.74	USD
TERMINAL STUD	BACT12AV013	7.16	USD
DME ANTENNA	10-203-32-H-2D	978.7	USD
DISK-STG 3	2116M23P01	17968	USD
BLANK FLANCE	D2827093222600	250	USD
PLUG-BLANKING	D2827091721600	550	USD
BLANK FLANCE	D2827093222600	2310	USD
HROUD ASSY-TOILET LID SEAT	1L400407-51	6300	USD
WEIGHT	5A0136	440	USD
WEIGHT	5A0137	1450	USD
LATCH	491B0700038-001	3412.5	USD
EXCITER, IGNITION UNIT	10-631045-3	4200	USD
EXCITER, IGNITION UNIT	10-631045-3	9995	USD
MRC FAN ASSEMBLY	7029953-901	5497.57	USD
MRC FAN ASSEMBLY	7029953-901	3428	USD
MRC FAN ASSEMBLY	7029953-901	5360.13	USD
WEIGHT	5A0137	950.2	USD
SEALING RING ACT	E1394938	1132.23	USD
SEALING RING ACT	E1394938	956.74	USD
SEALING RING ACT	E1394938	175	USD
ELEMENT-OIL FILTER	7593418-101	108.41	USD
HUBCAP	277A6110-3 	5976.63	USD
HUBCAP	277A6110-3 	7158.65	USD
ACTUATOR, VARIABLE STATOR	1211313-010	10000	USD
ACTUATOR, VARIABLE STATOR	1211313-010	11950	USD
ACTUATOR, VARIABLE STATOR	1211313-010	9900	USD
EXCITER, IGNITION UNIT	10-631045-3	1500	USD
HOSE	ALL488-101-0	13643	USD
PIN	BACC47ES2	5.72	USD
SOCKET	BACC47ET2	9.19	USD
VALVE-SELECTOR	400220-5	5895	USD
VALVE-SELECTOR	400220-5	3900	USD
VALVE-SELECTOR	400220-5	2700	USD
SWITCH	TY1932-50A	21248	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	4590	USD
PISA SA, PSU	Z312H2000110	1974	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	5800	USD
Устройство для тестирования авиационных систем навигации и связи	IFR 4000	16017	USD
Комплекс IFR6000 для наземного тестирования транспондеров/DME/TCAS	IFR 6000	23505.08	USD
Вихретоковый дефектоскоп	NORTEC 600D	17768.55	USD
Shade Assy Roll	3864170-501	1275	USD
Shade Assy Roll	3864070-503 	715	USD
ADAPTER ASSY	3079013-01	1450	USD
ADAPTER ASSY	3079012-01	1450	USD
ADAPTER ASSY	3079014-01	1450	USD
PARTS KIT, GASKETS FLEX FUEL	3126129-01	784.6	USD
ANTENNA-RADIO ALTIMETER	071-50026-0400	2750	USD
RIVET	BACR15FR6E3	34.99	USD
THERMOSTAT-SOLENOID	341F010000	6500	USD
EXCITER, IGNITION UNIT	10-631045-3	2500	USD
EXCITER, IGNITION UNIT	10-631045-3	29000	USD
BRACKET 	98-01-07905 	279.7	USD
CONTACT, PIN	ZZL-4016-10R	61.47	USD
ROLLER SHADE	170-16732-990	607.63	USD
HEATER	24E507040G04	7724.64	USD
HEATER	24E507040G04	7873.56	USD
Packing	AS3582-014	1	USD
Packing	AS3582-017	1	USD
Packing	M83248-1-012	1	USD
NOZZLE	4812-15	13.69	USD
PIVOT	2d2013-3	468.37	USD
PIVOT	2d2013-3	315	USD
WEIGHT	5A0137	950.2	USD
WEIGHT	5A0137	1000	USD
WEIGHT	5A0137	787.5	USD
WEIGHT	5A0136	315	USD
WEIGHT	5A0138	787.5	USD
PROTECTIVE BREATHING EQUIPMENT	         MR-10047N	1600	USD
ACTUATOR, VARIABLE STATOR	1211313-010	14500	USD
ACTUATOR, VARIABLE STATOR	1211313-010	10000	USD
VALVE-SELECTOR	400220-5	4000	USD
  UPLOCK ASSY	161A6100-3	18500	USD
POWER CONTROL UNIT ELEVATOR	3321530-11	4000	USD
FITTING ASSY	69-45555-9	985.5	USD
BRACKET 	98-01-07905 	335.64	USD
BRACKET 	98-01-07905 	1036	USD
Bose A20 Headset Accessory Refresh Kit	331366-0010	199.96	USD
LIGHT ASSY	4255-30	1292.38	USD
LIGHT ASSY	4255-30	1120	USD
AXLE SEEVE	54-472	43545.49	USD
AXLE SEEVE	54-472	11500	USD
AXLE SEEVE	54-472	25000	USD
LAMP	8GH410768-28	381.91	USD
LAMP	8GH410768-28	180	USD
POWER CONTROL UNIT ELEVATOR	3321530-11	2250	USD
LIGHT ASSY-WINGLET POS. LH RED	72303218-3	31151.54	USD
DISPLAY ELECTRONICS UNIT	4081600-940 	109250	USD
DISPLAY ELECTRONICS UNIT	4081600-940 	84500	USD
ACTUATOR ASSY	106788A144	6250	USD
ACTUATOR ASSY	106788A144	24475	USD
ACTUATOR ASSY	106788A144	4950	USD
BEARING-ROLLER CYLINDRICAL 	9972M33P07 	3500	USD
BEARING-ROLLER CYLINDRICAL 	9972M33P07 	1990	USD
FRAME 7 ASSY-AFT FAIRING,PYLON 	170-97553-421 	5249.37	USD
FRAME 7 ASSY-AFT FAIRING,PYLON 	170-97553-421 	6268	USD
NOZZLE 	10010909AIR	245	USD
HOSE	649-433-036-0 	4590	USD
HOSE-RACC	649-433-034-0 	5971	USD
SMOKE DETECTOR, MODEL 2000	473597-18	2493.75	USD
SMOKE DETECTOR, MODEL 2000	473597-18	4000	USD
SMOKE DETECTOR, MODEL 2000	473597-18	2750	USD
SWITCH, HYDRAULIC FLUID TEMPERATURE	2381H000-001	19500	USD
SWITCH, HYDRAULIC FLUID TEMPERATURE	2381H000-001	29400	USD
FLIGHT DATA INTERFACE MGM UNIT	2234320-01-01	20000	USD
FLIGHT DATA INTERFACE MGM UNIT	2234320-01-01	21500	USD
FLIGHT DATA INTERFACE MGM UNIT	2234320-01-01	17000	USD
NOZZLE 	10010909AIR	180	USD
ACTUATOR, VARIABLE STATOR	1211313-010	9500	USD
BUSHING, FLANGED	170-70523-001 	781	USD
BUSHING, FLANGED	170-70523-001 	600	USD
TUBE ASSY	65C26841-1239	3406.05	USD
SPACER	5-89357-31	149.35	USD
SLEEVE ASSY	315A1068-3	852	USD
WASHER	MS15795-808	3.25	USD
WASHER	MS15795-808	3.25	USD
FITTING ASSY	315A1525U522	2988.45	USD
BACKSHEL	380AC007M1405L	725	USD
BACKSHEL	380AC007M1405L	725	USD
FLASH TAPE 1 INCH WIDTH	HCS2114	300	USD
RIVET, FLAT HEAD	CR3212-6-07	25	USD
BACKSHEL	380AC007M1405L	725	USD
